Timestamp,Temp 1,Temp 2,Temp 3,Temp 4,Temp 5,Temp 6,Temp 7,Temp 8,Temp 9,Temp 10,Temp 11,Temp 12,Temp 13,Temp 14,Temp 15,Temp 16,Temp 17,Temp 18,Temp 19,Temp 20,Temp 21,Temp 22,Temp 23,Temp 24,Temp 25,Temp 26,Temp 27,Temp 28,Temp 29,Temp 30,Temp 31,Temp 32,Temp 33,Temp 34,Temp 35,Temp 36,Temp 37,Temp 38,Temp 39,Temp 40,Temp 41,Temp 42,Temp 43,Temp 44,Temp 45,Temp 46,Temp 47,Temp 48,Temp 49,Temp 50,Temp 51,Temp 52,Temp 53,Temp 54,Temp 55,Temp 56,Temp 57,Temp 58,Temp 59,Temp 60,Temp 61,Temp 62,Temp 63,Temp 64,Temp 65,Temp 66,Temp 67,Temp 68,Temp 69,Temp 70,Temp 71,Temp 72,Temp 73,Temp 74,Temp 75,Temp 76,Temp 77,Temp 78,Temp 79,Temp 80,Temp 81,Temp 82,Temp 83,Temp 84,Temp 85,Temp 86,Temp 87,Temp 88,Temp 89,Temp 90,Temp 91,Temp 92,Temp 93,Temp 94,Temp 95,Temp 96,Temp 97,Temp 98,Temp 99,Temp 100,Sd 1,Sd 2,Sd 3,Sd 4,Sd 5,Sd 6,Sd 7,Sd 8,Sd 9,Sd 10,Sd 11,Sd 12,Sd 13,Sd 14,Sd 15,Sd 16,Sd 17,Sd 18,Sd 19,Sd 20,Sd 21,Sd 22,Sd 23,Sd 24,Sd 25,Sd 26,Sd 27,Sd 28,Sd 29,Sd 30,Sd 31,Sd 32,Sd 33,Sd 34,Sd 35,Sd 36,Sd 37,Sd 38,Sd 39,Sd 40,Sd 41,Sd 42,Sd 43,Sd 44,Sd 45,Sd 46,Sd 47,Sd 48,Sd 49,Sd 50,Sd 51,Sd 52,Sd 53,Sd 54,Sd 55,Sd 56,Sd 57,Sd 58,Sd 59,Sd 60,Sd 61,Sd 62,Sd 63,Sd 64,Sd 65,Sd 66,Sd 67,Sd 68,Sd 69,Sd 70,Sd 71,Sd 72,Sd 73,Sd 74,Sd 75,Sd 76,Sd 77,Sd 78,Sd 79,Sd 80,Sd 81,Sd 82,Sd 83,Sd 84,Sd 85,Sd 86,Sd 87,Sd 88,Sd 89,Sd 90,Sd 91,Sd 92,Sd 93,Sd 94,Sd 95,Sd 96,Sd 97,Sd 98,Sd 99,Sd 100
2014-11-16 22:48:18.791000,292.45,292.05,293.95,292.6,293.1,293.0,294.75,291.1,294.35,294.85,293.9,293.75,292.8,293.7,291.65,294.4,291.65,294.15,293.4,292.3,292.4,293.5,292.95,291.95,293.35,293.65,294.1,294.9,293.8,291.9,293.4,291.75,293.6,294.4,291.65,292.25,294.55,291.6,291.0,294.3,293.7,292.4,293.3,292.5,293.6,291.55,294.1,292.35,291.0,294.2,294.95,294.1,293.25,291.55,293.4,294.3,294.8,292.45,291.6,292.35,293.2,293.5,294.75,292.1,292.4,293.5,291.3,292.1,292.5,294.65,294.05,292.4,292.9,294.1,293.95,294.75,292.8,292.05,292.6,294.7,292.25,292.05,292.65,291.0,294.9,292.95,294.85,293.55,292.5,292.85,293.15,293.2,293.1,294.55,294.65,291.45,292.1,291.05,291.05,292.6,4.43,15.38,35.25,13.05,17.51,18.76,18.89,34.31,38.8,7.56,36.34,7.85,25.0,16.96,9.8,12.38,23.22,23.16,22.29,29.57,5.72,27.99,30.49,2.37,26.27,11.69,36.21,17.78,38.45,1.07,30.45,8.92,31.44,1.16,32.2,30.72,32.17,9.72,31.36,17.16,5.33,13.63,12.29,12.35,26.92,13.69,30.36,38.51,8.06,20.85,25.65,39.28,10.6,23.89,16.85,12.69,7.48,19.54,25.93,17.63,5.06,37.01,14.09,39.8,11.14,39.98,5.32,6.22,36.9,29.75,9.3,29.31,35.06,30.96,27.4,39.78,0.22,30.47,30.19,2.26,22.37,0.37,1.23,13.68,5.35,35.89,7.77,19.8,20.66,2.31,23.91,7.59,9.0,11.92,22.4,21.02,39.55,19.7,11.95,1.11
2014-11-16 22:48:18.791000,294.35,291.65,291.4,294.9,293.2,294.85,291.5,294.55,291.9,293.8,291.7,292.6,294.35,291.3,294.2,293.8,291.3,293.3,291.35,294.65,291.65,293.2,292.35,294.3,292.3,291.35,291.35,292.0,292.6,294.6,291.4,292.85,292.3,294.7,293.8,293.95,291.9,294.7,294.95,293.4,292.25,294.25,294.15,291.2,294.4,291.0,294.35,293.6,291.9,291.1,292.25,294.6,293.1,292.95,293.85,292.6,291.65,291.95,293.35,292.7,291.45,292.4,291.8,291.45,292.3,294.2,294.3,291.9,294.15,293.0,292.15,291.35,294.0,291.7,293.2,292.25,293.3,291.7,291.0,292.15,291.25,291.95,291.05,293.1,292.25,294.1,294.95,291.75,291.45,292.8,293.05,292.65,293.1,293.75,291.8,292.8,291.45,292.35,294.8,293.8,34.9,27.31,13.85,39.4,34.37,12.0,8.07,30.97,21.52,37.11,25.54,13.01,5.91,12.47,29.07,21.97,27.53,0.45,18.31,13.55,0.51,17.83,38.37,2.19,24.11,38.29,13.17,17.09,34.23,15.01,9.2,2.72,32.13,18.56,16.61,20.34,24.35,27.37,16.9,23.14,22.29,10.34,5.79,25.85,16.61,11.79,28.85,3.63,0.08,8.57,36.28,0.5,26.33,33.14,38.32,35.58,3.56,5.45,16.96,11.21,5.27,33.85,35.34,38.01,38.02,37.39,9.73,7.64,33.31,16.28,34.08,31.49,24.07,8.46,27.0,34.28,18.56,35.29,4.76,29.5,17.59,37.13,17.45,33.6,16.69,34.88,5.91,8.69,5.35,27.74,9.89,25.51,27.31,34.45,12.13,8.71,0.73,33.17,2.19,15.28
2014-11-16 22:48:18.791000,292.5,293.95,294.15,292.2,294.3,291.55,293.45,291.55,291.9,291.95,293.2,293.05,294.25,293.2,292.8,293.35,292.6,294.15,291.75,294.6,291.6,293.15,293.8,291.7,293.95,294.05,294.85,293.9,292.55,293.2,291.1,294.8,293.95,294.95,293.3,292.4,294.35,291.35,293.3,291.45,292.05,291.85,291.75,294.95,291.7,294.95,291.8,292.1,293.3,294.8,293.0,293.0,292.35,292.95,293.35,294.1,294.75,293.6,293.95,292.95,292.9,294.45,293.9,294.45,293.7,293.65,293.1,293.85,293.0,291.6,291.4,292.9,292.25,292.4,291.0,293.0,293.0,292.35,292.95,291.7,293.15,294.8,293.55,293.55,291.1,293.55,291.6,291.15,291.1,292.05,294.0,292.3,292.25,294.0,293.85,292.25,292.05,291.35,291.1,292.95,11.32,27.89,31.49,8.85,15.53,9.01,9.03,27.69,32.12,27.26,39.93,21.46,20.16,1.99,0.02,34.28,3.86,15.1,32.83,13.2,14.56,30.23,31.55,9.52,37.0,6.73,34.16,5.53,39.54,19.06,32.85,13.73,17.45,25.44,33.79,16.58,10.33,8.72,24.98,30.84,0.08,27.58,30.44,27.69,3.26,30.33,21.99,4.41,20.95,18.3,24.03,0.73,35.25,6.95,38.59,23.23,13.02,23.05,26.09,7.91,37.49,0.14,30.22,19.8,0.98,30.52,4.89,10.29,7.6,11.12,34.5,7.15,34.52,30.83,27.12,37.81,20.8,1.05,34.82,9.98,10.75,22.82,18.5,10.67,20.97,14.07,34.55,33.08,26.85,21.56,9.42,6.81,4.71,5.04,39.33,14.94,0.76,21.89,18.47,21.67
2014-11-16 22:48:18.791000,293.65,291.0,293.7,291.65,291.55,292.3,294.25,293.85,292.2,292.35,293.65,291.35,291.0,291.7,291.25,294.55,291.2,292.85,294.2,291.75,294.05,294.8,291.15,292.5,293.5,291.6,294.15,292.85,293.35,292.8,291.35,291.5,294.65,293.5,294.2,293.25,294.65,294.95,294.35,293.65,292.4,291.5,293.25,293.5,293.85,292.15,291.05,292.3,291.1,292.95,293.5,294.8,291.2,292.3,294.2,294.35,292.2,292.4,294.95,293.5,291.9,292.7,291.0,293.5,292.85,292.45,291.15,291.5,293.1,292.6,293.25,294.6,294.95,294.45,292.55,291.25,292.7,294.95,292.45,293.25,294.8,292.4,294.3,292.45,291.85,292.55,293.25,291.45,293.95,294.75,291.0,291.55,291.05,294.55,294.3,292.0,294.85,291.05,293.85,293.0,24.76,4.42,34.46,28.52,14.63,6.88,0.3,19.83,20.87,17.24,4.13,22.27,19.18,3.89,26.64,39.48,11.68,26.22,29.61,20.83,14.43,14.56,31.39,13.1,20.58,10.13,29.32,16.54,27.59,35.51,35.25,18.27,27.64,11.52,27.64,16.38,28.81,17.6,17.71,9.34,31.05,15.08,16.99,38.78,26.57,11.38,6.76,7.01,2.96,25.96,15.64,16.89,18.62,11.66,21.48,8.66,14.03,30.88,7.68,16.13,27.75,18.88,29.93,17.34,37.59,5.48,23.76,11.21,8.52,38.5,13.92,15.9,10.12,16.98,27.13,38.35,13.03,7.3,36.43,29.06,37.24,30.51,26.22,6.96,15.42,17.86,5.05,7.56,20.3,18.42,24.73,11.54,32.58,39.49,5.6,28.97,1.28,1.58,25.42,39.49
2014-11-16 22:48:18.791000,294.8,294.45,293.2,293.4,294.7,291.7,291.7,291.8,293.8,291.6,294.45,294.95,292.3,292.7,294.95,293.25,293.55,291.95,293.9,291.4,293.5,292.2,293.7,294.3,293.2,291.95,293.8,294.3,291.85,294.35,294.4,291.7,292.4,294.0,291.45,292.3,294.25,293.2,291.6,294.55,293.5,293.4,292.05,294.9,293.75,292.85,293.45,293.95,293.3,293.6,293.9,292.15,291.7,293.45,294.15,293.05,293.6,293.55,293.85,291.25,292.4,291.95,293.6,293.0,291.85,292.25,292.75,294.75,293.4,294.4,291.0,291.9,294.1,291.25,292.95,294.25,292.3,291.5,292.85,292.3,291.9,293.15,292.8,291.45,292.35,291.6,292.25,293.9,292.8,291.75,294.5,294.4,294.0,294.4,291.85,291.35,293.85,291.95,293.95,292.45,13.64,14.79,16.91,1.12,18.7,15.23,23.45,26.71,17.02,11.24,27.9,27.64,14.32,17.57,14.22,34.77,25.89,19.33,27.06,11.48,27.06,13.75,11.96,37.3,37.37,11.39,14.8,28.97,34.36,35.34,36.53,20.08,27.47,0.92,30.05,6.23,5.01,38.06,8.4,3.26,11.74,36.09,34.54,6.38,17.6,16.34,18.27,8.37,4.83,25.75,21.75,25.69,17.22,34.56,27.17,34.53,18.66,9.58,36.58,39.11,23.2,13.04,2.48,18.04,14.53,10.67,31.37,27.15,17.87,14.94,11.97,17.39,2.38,28.84,30.46,31.05,38.0,35.41,33.21,31.57,2.55,16.13,15.94,39.51,13.17,21.25,8.23,2.74,39.84,15.56,3.47,1.24,39.18,32.04,5.89,21.59,37.03,27.57,13.03,2.63
2014-11-16 22:48:18.791000,250.6,283.6,254.7,272.7,277.8,278.7,255.9,294.5,270.8,254.8,281.8,269.9,286.8,251.3,254.8,269.3,252.0,251.8,275.1,252.8,251.6,282.5,251.1,258.8,256.0,291.7,248.3,290.3,271.6,293.9,276.9,271.8,279.5,287.4,262.1,267.2,293.9,291.9,286.9,291.5,258.6,293.5,259.5,263.9,260.5,291.3,261.4,258.4,253.2,265.2,263.1,263.2,257.0,287.7,263.7,292.8,248.8,287.6,282.6,248.2,256.4,252.5,260.1,280.1,270.2,273.6,294.8,250.1,294.3,285.3,252.2,250.6,263.2,269.6,250.1,284.0,294.1,257.2,275.3,263.7,290.4,279.9,248.6,273.3,269.9,290.0,272.8,269.8,288.7,275.5,253.3,279.2,284.8,274.2,290.2,267.1,282.6,261.9,264.1,279.3,66.0,42.0,48.0,82.0,67.0,60.0,56.0,41.0,72.0,50.0,77.0,87.0,49.0,79.0,43.0,65.0,40.0,67.0,51.0,68.0,68.0,73.0,46.0,51.0,71.0,59.0,69.0,83.0,73.0,40.0,85.0,76.0,85.0,64.0,46.0,65.0,59.0,40.0,54.0,81.0,47.0,85.0,85.0,52.0,67.0,56.0,55.0,85.0,62.0,69.0,51.0,80.0,79.0,40.0,78.0,87.0,78.0,58.0,55.0,49.0,68.0,83.0,75.0,42.0,59.0,55.0,59.0,84.0,64.0,84.0,65.0,65.0,71.0,64.0,80.0,52.0,67.0,71.0,42.0,57.0,47.0,62.0,47.0,57.0,83.0,49.0,66.0,58.0,59.0,49.0,51.0,59.0,67.0,87.0,89.0,53.0,76.0,51.0,81.0,87.0
2014-11-16 22:48:18.791000,285.3,276.2,270.0,294.8,276.0,261.3,263.1,269.5,286.8,288.5,291.3,266.6,274.7,284.9,267.6,271.9,290.5,272.3,271.7,287.9,267.1,294.0,262.1,268.0,285.6,252.9,259.3,279.2,289.4,273.1,262.6,259.7,256.2,252.5,263.5,288.7,293.9,256.7,263.6,268.2,277.7,268.7,249.7,250.4,282.4,266.6,280.4,279.2,290.8,288.6,281.4,258.5,271.5,268.7,269.0,267.8,270.2,291.1,290.0,258.7,267.7,292.5,274.8,274.0,278.1,289.4,250.4,287.8,266.8,271.8,275.7,248.6,269.6,278.3,285.9,264.3,266.0,267.0,253.3,289.6,279.5,267.0,251.1,283.4,278.6,279.7,277.5,273.1,251.3,265.2,266.5,270.3,253.9,280.9,255.4,275.6,264.5,260.6,292.2,291.8,45.0,72.0,58.0,75.0,82.0,89.0,47.0,88.0,56.0,54.0,47.0,42.0,70.0,40.0,46.0,75.0,72.0,69.0,46.0,88.0,43.0,87.0,73.0,40.0,81.0,46.0,81.0,66.0,53.0,83.0,60.0,40.0,57.0,79.0,40.0,62.0,50.0,45.0,64.0,87.0,57.0,88.0,71.0,79.0,43.0,77.0,66.0,75.0,65.0,60.0,63.0,65.0,57.0,69.0,77.0,76.0,70.0,69.0,48.0,66.0,57.0,42.0,79.0,66.0,62.0,42.0,78.0,45.0,84.0,48.0,64.0,74.0,79.0,57.0,42.0,47.0,49.0,59.0,85.0,88.0,86.0,59.0,42.0,66.0,53.0,52.0,54.0,85.0,53.0,79.0,53.0,61.0,63.0,62.0,53.0,56.0,57.0,46.0,85.0,47.0
2014-11-16 22:48:18.791000,248.95,249.1,248.05,249.6,249.1,248.3,248.6,249.15,248.9,249.3,249.9,249.0,248.1,249.0,249.2,249.25,249.65,248.15,248.05,248.35,249.05,248.15,248.3,248.0,249.95,249.25,249.4,249.35,248.0,249.95,248.75,248.65,248.2,249.5,248.55,249.55,249.1,248.6,248.8,248.3,249.45,249.35,249.2,248.05,248.75,248.1,249.95,248.45,249.35,249.15,248.05,249.25,248.0,248.65,248.7,249.65,249.35,249.3,248.25,249.35,248.9,248.85,248.0,248.5,249.3,248.65,249.75,249.15,248.4,249.75,249.8,249.6,249.7,249.1,249.5,248.45,249.35,249.55,249.55,248.8,249.5,248.9,249.15,249.4,249.2,249.6,249.45,249.45,248.9,249.1,249.15,249.95,248.1,249.8,249.25,248.15,248.25,249.6,248.7,249.75,21.79,21.27,7.37,2.0,1.75,15.04,23.57,15.02,10.56,17.38,1.23,23.69,22.01,11.22,12.96,1.34,13.13,7.84,9.66,18.09,9.42,13.44,2.13,16.48,1.6,10.6,12.6,12.08,0.48,7.04,4.51,21.14,0.27,1.25,9.0,7.82,17.03,22.84,24.35,4.14,15.33,22.07,17.43,20.86,3.96,0.07,20.71,18.72,4.66,13.78,4.49,6.56,8.55,16.69,18.15,9.28,20.26,19.26,10.71,4.97,24.57,10.45,23.64,23.77,1.17,6.99,20.61,16.87,22.38,18.98,9.54,23.18,14.19,14.43,8.13,18.81,0.26,21.42,3.64,13.79,5.03,17.44,14.42,14.64,7.24,11.62,2.24,17.73,23.2,3.75,22.06,3.06,5.56,3.53,4.11,7.0,21.86,10.09,4.87,7.3
2014-11-16 22:48:18.807000,248.55,249.0,248.05,249.75,249.85,248.1,248.6,249.5,248.3,248.75,249.5,248.05,248.45,248.05,248.15,248.65,249.6,249.9,248.75,248.45,249.05,249.1,248.35,249.25,249.8,249.45,248.1,248.05,249.5,249.05,248.55,248.25,248.7,248.15,248.75,248.85,249.9,249.3,249.9,248.25,248.35,248.2,248.35,248.4,249.9,248.85,248.1,248.8,248.6,248.15,248.95,248.3,248.65,249.7,248.85,248.85,249.2,248.45,249.65,249.6,249.8,249.35,249.25,248.4,249.75,248.85,248.85,248.9,249.9,249.6,248.0,249.6,248.05,249.45,248.5,248.8,249.65,248.25,248.9,249.95,249.7,248.0,249.4,249.1,248.9,248.45,249.4,248.3,248.45,248.5,248.95,249.35,249.4,248.6,248.85,249.0,248.0,248.1,249.0,249.3,19.94,17.02,8.44,21.92,22.68,13.7,4.95,12.07,5.22,0.03,9.56,22.13,9.75,20.29,12.38,12.85,20.24,13.15,22.95,3.89,10.61,2.78,10.53,2.77,24.56,10.75,13.02,5.7,18.76,8.59,21.32,19.66,13.58,15.94,11.24,14.34,4.72,19.31,20.53,6.35,1.03,3.72,11.71,0.83,11.7,6.56,21.57,2.14,20.16,15.62,0.31,22.98,3.16,4.09,23.94,14.23,0.67,4.23,18.33,19.58,11.41,23.91,4.55,6.32,22.22,3.02,0.65,2.21,17.64,6.43,22.98,14.31,3.45,18.59,11.17,4.6,19.07,6.72,12.69,12.83,20.46,11.07,15.85,10.99,7.16,17.13,16.62,0.72,20.85,22.56,0.45,12.73,10.34,22.36,13.32,11.71,7.84,15.59,16.39,17.23
2014-11-16 22:48:18.807000,249.85,248.85,248.5,249.6,249.45,249.25,248.65,249.25,249.3,248.4,249.6,249.25,248.35,248.55,249.9,248.7,249.65,249.6,249.45,249.75,248.65,248.05,248.55,249.25,248.15,248.35,249.95,249.15,249.8,248.15,249.6,249.95,248.25,248.05,249.85,248.65,249.5,249.75,249.35,249.15,249.85,248.2,249.2,248.95,249.35,248.1,249.55,249.65,248.1,249.55,249.7,248.7,249.15,248.9,249.95,249.25,248.15,248.6,249.85,249.45,248.95,248.35,249.7,249.55,249.75,248.25,249.7,249.4,249.85,249.95,249.6,248.35,248.9,249.5,248.75,248.1,248.55,249.6,248.6,249.0,249.85,248.95,249.4,248.2,248.25,248.9,249.05,249.6,249.05,249.25,248.65,249.65,249.9,249.5,248.0,248.5,249.9,248.7,248.65,249.65,3.81,14.09,23.63,7.03,17.56,24.74,4.79,10.66,19.21,16.73,21.82,11.22,21.67,9.29,11.23,14.74,15.64,17.26,4.5,1.03,13.3,24.5,12.15,11.38,3.81,15.81,2.72,9.51,15.79,13.84,10.92,16.73,17.42,4.41,20.78,6.72,4.42,5.32,9.07,14.53,5.75,21.33,19.42,19.9,10.46,9.06,23.0,14.35,24.6,12.46,12.24,10.36,0.44,19.53,15.54,0.43,23.76,9.7,22.87,21.51,3.05,2.25,11.94,10.93,1.73,16.06,4.29,24.32,6.76,4.54,2.86,15.91,22.13,0.35,18.27,13.1,23.39,0.26,18.42,21.03,22.93,2.64,3.32,17.42,11.02,16.07,21.0,2.49,8.34,9.3,21.04,1.18,14.37,5.78,13.96,22.91,2.5,7.66,11.56,4.63
